 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060053 ATENDIMENTO DE URGENCIA EM ATENCAO PRIMARIA COM REMOCAO
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"330455 Rio de Janeiro";88;49;71;81;52;16;8;-;-;-;8;-;6;1;-;-;-;-;3;6;1;-;-;-;1;-;-;-;4;-;5;3;4;12;28;7;2;22;-;13;6;10;2;-;-;-;2;3;4;1;-;1;19;13;11;12;53;39;61;58;74;61;83;64;59;64;67;85;59;65;71;52;80;93;102;90;61;87;69;64;76;89;84;82;2567
"355030 São Paulo";7787;7640;8204;8669;8171;7630;7095;8073;7847;8957;8254;7981;7542;7354;8031;8712;9089;8179;7598;8014;7836;8313;7355;7390;7530;7339;7640;6437;7678;7327;7940;7362;7430;7652;7177;7522;7879;8097;9250;8505;8930;8305;8329;8315;8551;8552;8404;7672;6752;7585;9240;8581;9302;8142;7867;8385;8245;8887;7545;7927;8142;7105;9038;8743;8994;8637;8145;9299;8665;8728;8521;8535;7998;7591;9386;9735;10205;8850;9215;9217;8939;8364;8416;6791;687261
"410690 Curitiba";25;22;20;20;24;20;20;24;18;14;22;20;20;24;14;17;14;23;15;14;12;21;12;10;16;7;17;7;10;15;8;11;13;14;11;13;11;2;42;31;19;31;16;19;22;19;10;14;16;17;19;13;14;27;13;27;15;32;10;13;17;15;27;18;20;18;17;21;26;19;27;13;19;23;36;51;26;25;32;38;24;34;23;17;1625
"420540 Florianópolis";-;-;4;1;-;1;-;1;-;2;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"431490 Porto Alegre";102;112;110;137;233;96;218;2;140;72;172;159;-;155;65;-;91;101;-;-;136;123;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2229
"500270 Campo Grande";2;5;4;10;1;2;-;-;1;3;-;1;2;1;-;1;-;-;2;-;2;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;45
"510340 Cuiabá";531;550;650;680;380;782;220;11;490;-;415;12;-;25;26;26;22;26;22;20;29;22;19;32;36;28;22;1;18;31;26;29;23;34;28;60;29;23;41;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5489
"520870 Goiânia";392;-;217;260;189;154;245;211;-;-;-;-;-;94;1;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1769
"530010 Brasília";1;-;5;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;15;23;29;21;10;12;12;2;18;24;19;18;50;36;73;33;9;23;14;14;6;88;12;1;12;3;15;6;3;1;3;3;15;3;1;-;1;2;-;19;10;1;2;20;34;19;5;4;9;2;5;6;20;33;12;23;10;8;12;18;3;12;-;-;926
"Total";10212;10785;10587;11180;10525;9992;8933;9508;9647;10511;10123;9428;8641;9098;9327;10110;10479;9128;8654;9119;9565;10601;9032;8195;8402;8375;8435;6788;8068;7856;8466;7934;8207;8564;7729;7947;8597;8802;9926;9238;10129;9620;9584;9685;10133;10116;9860;9215;7861;9240;9871;9062;9913;8704;8313;9076;8730;9191;7881;8284;8816;7501;9664;9326;9450;8982;8739;9955;9196;9333;8923;9078;8698;8350;10261;10476;10885;9304;9907;9996;9653;9033;8974;7330;773012
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
